ID;"Номер авто";Дата;Координата;Вид_нарушения;Статус;Адрес
1123534;E606PX190;"2018.07.31 18:54:29";55.88828,37.66218;"В зоне действия знака «Остановка запрещена»";Оштрафован;"г. Москва, улица Грекова, дом 13А по Широкая улица"
1123530;P448YO777;"2018.07.31 18:53:23";55.88817,37.661953333333;"В зоне действия знака «Остановка запрещена»";Оштрафован;"г. Москва, улица Грекова, дом 11 по Широкой улице"
